"flight","beacons","day","balloonsize","liftfactor","h2fill","parachute.description","parachute.size","weights.client","weights.eoss","weights.parachute","weights.neckload","weights.balloon","weights.gross","weights.necklift"
"EOSS-309","[""KC0D-14"",""AE0SS-13""]","2021-04-10","3000gm","1.15","440","Rocketman","12","15.91","4.67","1.15","21.73","6.61","28.34","25.98"
"EOSS-308","[""KC0D-3"",""AE0SS-12""]","2021-04-03","3000gm","1.20","504","Rocketman","12","18.68","4.63","1.15","24.45","6.61","31.07","30.67"
"EOSS-307","[""KC0D-14"",""AE0SS-12"",""KC0D-2"",""AE0SS-13""]","2021-03-20","3000gm","1.15","372","Rocketman","12","8.44","7.73","1.15","17.32","6.61","23.93","20.91"
"EOSS-306","[""KC0D-3"",""KC0D-14"",""AE0SS-12""]","2021-01-16","1500gm","1.30","283","Rocketman","10","6.70","4.73","1.39","12.82","3.31","16.12","17.65"
"EOSS-305","[""KC0D-1"",""K0SCC-14""]","2020-11-07","1500gm","1.28","268","Rocketman","12","7.86","3.21","1.15","12.22","3.31","15.52","16.57"
"EOSS-304","[""KC0D-14"",""AE0SS-13""]","2020-11-07","1500gm","1.25","276","Rocketman","12","8.63","2.69","1.72","13.04","3.31","16.35","17.13"
"EOSS-303","[""KC0D-1"",""KC0D-3"",""K0SCC-14""]","2020-11-01","3000gm","1.19","477","Rocketman","12","16.09","5.27","1.72","23.08","6.61","29.69","28.721"
"EOSS-302","[""KC0D-14"",""AE0SS-12""]","2020-10-03","3000gm","1.30","324","Rocketman","10","5.14","5.30","1.39","11.83","6.61","18.45","17.37"
"EOSS-301","[""KC0D-14"",""KC0D-1"",""KC0D-3"",""AE0SS-12"",""K0SCC-14""]","2020-08-01","3000gm","1.15","480","Rocketman","12","17.64","5.02","1.63","24.28","6.61","30.90","28.92"
"EOSS-300","[""KC0D-1"",""KC0D-3"",""KC0D-2"",""AE0SS-13""]","2020-07-11","1500gm","1.25","198","Rocketman","12","0.12","6.66","1.63","8.41","3.31","11.72","11.34"
"EOSS-299","[""KC0D-12"",""AE0SS-12""]","2020-05-30","3000gm","1.18","432","Rocketman","12","15.34","2.76","2.40","20.49","6.61","27.11","25.37"
"EOSS-298","[""KC0D-14"",""AE0SS-12""]","2020-03-15","1500gm","1.25","206","Rocketman","9","4.13","3.53","1.24","8.90","3.31","12.20","11.95"
"EOSS-297","[""KC0D-2"",""K0SCC-14""]","2020-03-15","1500gm","1.25","238","Rocketman","10","6.78","2.56","1.48","10.81","3.31","14.12","14.34"
"EOSS-296","[""KC0D-2"",""AE0SS-12""]","2019-11-09","3000gm","1.15","348","Rocketman","12","10.06","4.60","1.15","15.80","6.61","22.42","19.17"
"EOSS-295","[""KC0D-1"",""AE0SS-13""]","2019-11-09","3000gm","1.15","439","Rocketman","12","17.39","3.13","1.15","21.67","6.61","28.28","25.91"
"EOSS-294","[""KC0D-2"",""AE0SS-12""]","2019-11-02","3000gm","1.15","431","Rocketman","12","15.42","4.54","1.15","21.10","6.61","27.71","25.26"
"EOSS-293","[""KC0D-1"",""AE0SS-13""]","2019-10-12","1500gm","1.25","273","Rocketman","12","7.02","4.09","1.72","12.83","3.31","16.14","16.87"
"EOSS-292","[""KC0D-15"",""AE0SS-12"",""AE0SS-13""]","2019-07-27","3000gm","1.15","322","Rocketman","12","8.27","4.71","1.15","14.12","6.61","20.73","17.23"
"EOSS-291","[""KC0D-1"",""AE0SS-12""]","2019-07-13","3000gm","1.17","370","Rocketman","12","11.90","3.71","1.15","16.77","6.61","23.38","20.74"
